experiment_id,interaction_term,min,max,mean,std,p95,p99,abs_max
B_n3,volume_density_x_price_displacement^3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_n3,volume_log_x_price_displacement,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_n3,volume_log_x_price_displacement^2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_n3,volume_log_x_price_displacement^3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_n1,price_velocity_x_acceleration,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_n1,relative_volume_x_price_velocity,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_n1,volume_density_x_price_displacement,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_n1,volume_log_x_price_displacement,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_n2,price_velocity_x_acceleration,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_n2,price_velocity_x_acceleration^2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_n2,relative_volume_x_price_velocity,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_n2,relative_volume_x_price_velocity^2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_n2,volume_density_x_price_displacement,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_n2,volume_density_x_price_displacement^2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_n2,volume_log_x_price_displacement,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_n2,volume_log_x_price_displacement^2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_n3,price_velocity_x_acceleration,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_n3,price_velocity_x_acceleration^2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_n3,price_velocity_x_acceleration^3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_n3,relative_volume_x_price_velocity,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_n3,relative_volume_x_price_velocity^2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_n3,relative_volume_x_price_velocity^3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_n3,volume_density_x_price_displacement,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_n3,volume_density_x_price_displacement^2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_n3,volume_density_x_price_displacement^3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_n3,volume_log_x_price_displacement,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_n3,volume_log_x_price_displacement^2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_n3,volume_log_x_price_displacement^3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D_n1,price_velocity_x_acceleration,-0.6478263774469027,1.971806930226899e+16,50700200216736.734,808539372701264.0,2.176116107815415e-06,139.6991730032563,1.971806930226899e+16
D_n1,relative_volume_x_price_velocity,-244687.5835698596,871.5127052868045,-604.9904176228786,9556.580848301417,0.0019419191542903059,0.002542753156159957,244687.5835698596
D_n1,volume_density_x_price_displacement,-46222874816.639786,931578576.7396669,-53207017.774168946,2078863674.2980087,550543751.1904829,823931741.1397495,46222874816.639786
D_n1,volume_log_x_price_displacement,-0.14166799310702044,0.023166109982139062,5.0403311513199376e-05,0.005868990436232307,0.00128631196984567,0.0015775606327991614,0.14166799310702044
D_n2,price_velocity_x_acceleration,-0.6478263774469027,1.971806930226899e+16,50700200216736.734,808539372701264.0,2.176116107815415e-06,139.6991730032563,1.971806930226899e+16
D_n2,price_velocity_x_acceleration^2,0.0,3.888022570090828e+32,6.563064275101706e+29,1.3408626025331499e+31,5.039489052604576e-12,19576.11970749055,3.888022570090828e+32
D_n2,relative_volume_x_price_velocity,-244687.5835698596,871.5127052868045,-604.9904176228786,9556.580848301417,0.0019419191542903059,0.002542753156159957,244687.5835698596
D_n2,relative_volume_x_price_velocity^2,0.0,59872013553.25702,91694250.91553693,2035460378.7513669,4.362983087446877e-06,0.0017414464081003326,59872013553.25702
D_n2,volume_density_x_price_displacement,-46222874816.639786,931578576.7396669,-53207017.774168946,2078863674.2980087,550543751.1904829,823931741.1397495,46222874816.639786
D_n2,volume_density_x_price_displacement^2,0.0,2.1365541563147525e+21,4.324505163056239e+18,7.781875640673837e+19,3.722190587075724e+17,8.188611835167564e+17,2.1365541563147525e+21
D_n2,volume_log_x_price_displacement,-0.14166799310702044,0.023166109982139062,5.0403311513199376e-05,0.005868990436232307,0.00128631196984567,0.0015775606327991614,0.14166799310702044
D_n2,volume_log_x_price_displacement^2,0.0,0.02006982027097079,3.444758923439778e-05,0.0006943707754077789,1.7961178004884748e-06,3.3025531633260903e-06,0.02006982027097079
D_n3,price_velocity_x_acceleration,-0.6478263774469027,1.971806930226899e+16,50700200216736.734,808539372701264.0,2.176116107815415e-06,139.6991730032563,1.971806930226899e+16
D_n3,price_velocity_x_acceleration^2,0.0,3.888022570090828e+32,6.563064275101706e+29,1.3408626025331499e+31,5.039489052604576e-12,19576.11970749055,3.888022570090828e+32
D_n3,price_velocity_x_acceleration^3,-0.27187913618263254,7.666429848583695e+48,1.0271506465249841e+46,2.54249311896118e+47,1.0306168005615676e-17,2751034.9285977283,7.666429848583695e+48
D_n3,relative_volume_x_price_velocity,-244687.5835698596,871.5127052868045,-604.9904176228786,9556.580848301417,0.0019419191542903059,0.002542753156159957,244687.5835698596
D_n3,relative_volume_x_price_velocity^2,0.0,59872013553.25702,91694250.91553693,2035460378.7513669,4.362983087446877e-06,0.0017414464081003326,59872013553.25702
D_n3,relative_volume_x_price_velocity^3,-1.4649938319808342e+16,661943875.7599492,-18431645157086.87,485086596840333.94,7.3231867654661545e-09,1.6442414492912257e-08,1.4649938319808342e+16
D_n3,volume_density_x_price_displacement,-46222874816.639786,931578576.7396669,-53207017.774168946,2078863674.2980087,550543751.1904829,823931741.1397495,46222874816.639786
D_n3,volume_density_x_price_displacement^2,0.0,2.1365541563147525e+21,4.324505163056239e+18,7.781875640673837e+19,3.722190587075724e+17,8.188611835167564e+17,2.1365541563147525e+21
D_n3,volume_density_x_price_displacement^3,-9.875767530630823e+31,8.084598894136955e+26,-1.534804438444481e+29,3.348699218896362e+30,1.6690802497642422e+26,5.5954677825434314e+26,9.875767530630823e+31
D_n3,volume_log_x_price_displacement,-0.14166799310702044,0.023166109982139062,5.0403311513199376e-05,0.005868990436232307,0.00128631196984567,0.0015775606327991614,0.14166799310702044
D_n3,volume_log_x_price_displacement^2,0.0,0.02006982027097079,3.444758923439778e-05,0.0006943707754077789,1.7961178004884748e-06,3.3025531633260903e-06,0.02006982027097079
D_n3,volume_log_x_price_displacement^3,-0.002843251159807029,1.243252500935419e-05,-3.770891505535929e-06,9.473452307045325e-05,2.128330961935244e-09,3.926071689938957e-09,0.002843251159807029
E_n1,price_velocity_x_acceleration,-0.6478263774469027,1.971806930226899e+16,50700200216736.734,808539372701264.0,2.176116107815415e-06,139.6991730032563,1.971806930226899e+16
E_n1,relative_volume_x_price_velocity,-244687.5835698596,871.5127052868045,-604.9904176228786,9556.580848301417,0.0019419191542903059,0.002542753156159957,244687.5835698596
E_n1,volume_density_x_price_displacement,-46222874816.639786,931578576.7396669,-53207017.774168946,2078863674.2980087,550543751.1904829,823931741.1397495,46222874816.639786
E_n1,volume_log_x_price_displacement,-0.14166799310702044,0.023166109982139062,5.0403311513199376e-05,0.005868990436232307,0.00128631196984567,0.0015775606327991614,0.14166799310702044
E_n2,price_velocity_x_acceleration,-0.6478263774469027,1.971806930226899e+16,50700200216736.734,808539372701264.0,2.176116107815415e-06,139.6991730032563,1.971806930226899e+16
E_n2,price_velocity_x_acceleration^2,0.0,3.888022570090828e+32,6.563064275101706e+29,1.3408626025331499e+31,5.039489052604576e-12,19576.11970749055,3.888022570090828e+32
E_n2,relative_volume_x_price_velocity,-244687.5835698596,871.5127052868045,-604.9904176228786,9556.580848301417,0.0019419191542903059,0.002542753156159957,244687.5835698596
E_n2,relative_volume_x_price_velocity^2,0.0,59872013553.25702,91694250.91553693,2035460378.7513669,4.362983087446877e-06,0.0017414464081003326,59872013553.25702
E_n2,volume_density_x_price_displacement,-46222874816.639786,931578576.7396669,-53207017.774168946,2078863674.2980087,550543751.1904829,823931741.1397495,46222874816.639786
E_n2,volume_density_x_price_displacement^2,0.0,2.1365541563147525e+21,4.324505163056239e+18,7.781875640673837e+19,3.722190587075724e+17,8.188611835167564e+17,2.1365541563147525e+21
E_n2,volume_log_x_price_displacement,-0.14166799310702044,0.023166109982139062,5.0403311513199376e-05,0.005868990436232307,0.00128631196984567,0.0015775606327991614,0.14166799310702044
E_n2,volume_log_x_price_displacement^2,0.0,0.02006982027097079,3.444758923439778e-05,0.0006943707754077789,1.7961178004884748e-06,3.3025531633260903e-06,0.02006982027097079
E_n3,price_velocity_x_acceleration,-0.6478263774469027,1.971806930226899e+16,50700200216736.734,808539372701264.0,2.176116107815415e-06,139.6991730032563,1.971806930226899e+16
E_n3,price_velocity_x_acceleration^2,0.0,3.888022570090828e+32,6.563064275101706e+29,1.3408626025331499e+31,5.039489052604576e-12,19576.11970749055,3.888022570090828e+32
E_n3,price_velocity_x_acceleration^3,-0.27187913618263254,7.666429848583695e+48,1.0271506465249841e+46,2.54249311896118e+47,1.0306168005615676e-17,2751034.9285977283,7.666429848583695e+48
E_n3,relative_volume_x_price_velocity,-244687.5835698596,871.5127052868045,-604.9904176228786,9556.580848301417,0.0019419191542903059,0.002542753156159957,244687.5835698596
E_n3,relative_volume_x_price_velocity^2,0.0,59872013553.25702,91694250.91553693,2035460378.7513669,4.362983087446877e-06,0.0017414464081003326,59872013553.25702
E_n3,relative_volume_x_price_velocity^3,-1.4649938319808342e+16,661943875.7599492,-18431645157086.87,485086596840333.94,7.3231867654661545e-09,1.6442414492912257e-08,1.4649938319808342e+16
E_n3,volume_density_x_price_displacement,-46222874816.639786,931578576.7396669,-53207017.774168946,2078863674.2980087,550543751.1904829,823931741.1397495,46222874816.639786
E_n3,volume_density_x_price_displacement^2,0.0,2.1365541563147525e+21,4.324505163056239e+18,7.781875640673837e+19,3.722190587075724e+17,8.188611835167564e+17,2.1365541563147525e+21
E_n3,volume_density_x_price_displacement^3,-9.875767530630823e+31,8.084598894136955e+26,-1.534804438444481e+29,3.348699218896362e+30,1.6690802497642422e+26,5.5954677825434314e+26,9.875767530630823e+31
E_n3,volume_log_x_price_displacement,-0.14166799310702044,0.023166109982139062,5.0403311513199376e-05,0.005868990436232307,0.00128631196984567,0.0015775606327991614,0.14166799310702044
E_n3,volume_log_x_price_displacement^2,0.0,0.02006982027097079,3.444758923439778e-05,0.0006943707754077789,1.7961178004884748e-06,3.3025531633260903e-06,0.02006982027097079
E_n3,volume_log_x_price_displacement^3,-0.002843251159807029,1.243252500935419e-05,-3.770891505535929e-06,9.473452307045325e-05,2.128330961935244e-09,3.926071689938957e-09,0.002843251159807029
