experiment_id,scenario,sequence,model_time,output_channel,prediction,target,largest_term_name,largest_term_value,second_largest_term_name,second_largest_term_value,sum_linear,sum_quadratic,sum_cubic,sum_interactions,bias,perturbation_state,observation_half_life,forward_half_life
D_n3,irregular_event_time_sampling,841,2.203843319966493,direction_state,-3.833214924291864e+49,-1.0,price_velocity_x_acceleration^3,-3.8332149242918473e+49,volume_density^3,-1.7833816200792122e+35,-943761183398.9209,-1.9440112856964627e+33,-3.833214924291864e+49,-3.8332149242918473e+49,-5.0,1.916607462145932e+49,1.916607462145932e+49,1.916607462145932e+49
D_n3,irregular_event_time_sampling,841,2.203843319966493,magnitude_state,-3.833214924291864e+49,0.140421042223176,price_velocity_x_acceleration^3,-3.8332149242918473e+49,volume_density^3,-1.7833816200792122e+35,-943761183398.9209,-1.9440112856964627e+33,-3.833214924291864e+49,-3.8332149242918473e+49,-5.0,1.916607462145932e+49,1.916607462145932e+49,1.916607462145932e+49
D_n3,irregular_event_time_sampling,841,2.203843319966493,strength,3.833214924291864e+49,1.0,price_velocity_x_acceleration^3,3.8332149242918473e+49,volume_density^3,1.7833816200792122e+35,943761183398.9209,1.9440112856964627e+33,3.833214924291864e+49,3.8332149242918473e+49,5.0,1.916607462145932e+49,1.916607462145932e+49,1.916607462145932e+49
D_n3,irregular_event_time_sampling,841,2.203843319966493,persistence,3.833214924291864e+49,1.0,price_velocity_x_acceleration^3,3.8332149242918473e+49,volume_density^3,1.7833816200792122e+35,943761183398.9209,1.9440112856964627e+33,3.833214924291864e+49,3.8332149242918473e+49,5.0,1.916607462145932e+49,1.916607462145932e+49,1.916607462145932e+49
D_n3,irregular_event_time_sampling,841,2.203843319966493,observation_half_life,3.833214924291864e+49,300.0,price_velocity_x_acceleration^3,3.8332149242918473e+49,volume_density^3,1.7833816200792122e+35,943761183398.9209,1.9440112856964627e+33,3.833214924291864e+49,3.8332149242918473e+49,5.0,1.916607462145932e+49,1.916607462145932e+49,1.916607462145932e+49
D_n3,irregular_event_time_sampling,841,2.203843319966493,forward_half_life,3.833214924291864e+49,300.0,price_velocity_x_acceleration^3,3.8332149242918473e+49,volume_density^3,1.7833816200792122e+35,943761183398.9209,1.9440112856964627e+33,3.833214924291864e+49,3.8332149242918473e+49,5.0,1.916607462145932e+49,1.916607462145932e+49,1.916607462145932e+49
D_n3,irregular_event_time_sampling,841,2.203843319966493,reinforcement,-3.833214924291864e+49,0.010000000000000037,price_velocity_x_acceleration^3,-3.8332149242918473e+49,volume_density^3,-1.7833816200792122e+35,-943761183398.9209,-1.9440112856964627e+33,-3.833214924291864e+49,-3.8332149242918473e+49,-5.0,1.916607462145932e+49,1.916607462145932e+49,1.916607462145932e+49
D_n3,irregular_event_time_sampling,841,2.203843319966493,uncertainty,3.833214924291864e+49,0.2,price_velocity_x_acceleration^3,3.8332149242918473e+49,volume_density^3,1.7833816200792122e+35,943761183398.9209,1.9440112856964627e+33,3.833214924291864e+49,3.8332149242918473e+49,5.0,1.916607462145932e+49,1.916607462145932e+49,1.916607462145932e+49
D_n3,irregular_event_time_sampling,841,2.203843319966493,reversal_tendency,3.833214924291864e+49,0.7,price_velocity_x_acceleration^3,3.8332149242918473e+49,volume_density^3,1.7833816200792122e+35,943761183398.9209,1.9440112856964627e+33,3.833214924291864e+49,3.8332149242918473e+49,5.0,1.916607462145932e+49,1.916607462145932e+49,1.916607462145932e+49
D_n3,irregular_event_time_sampling,841,2.203843319966493,perturbation_state,3.833214924291864e+49,0.8,price_velocity_x_acceleration^3,3.8332149242918473e+49,volume_density^3,1.7833816200792122e+35,943761183398.9209,1.9440112856964627e+33,3.833214924291864e+49,3.8332149242918473e+49,5.0,1.916607462145932e+49,1.916607462145932e+49,1.916607462145932e+49
