experiment_id,variant,polynomial_order,include_volume,include_volume_interactions,conditioned_volume_density_abs_max,conditioned_relative_volume_abs_max,volume_interaction_abs_max,parameter_drift_total
A_n1,A,1,False,False,0.0,0.0,0.0,5802.322828454187
A_n2,A,2,False,False,0.0,0.0,0.0,11287.015193384343
A_n3,A,3,False,False,0.0,0.0,0.0,40948.707828916784
B_n1,B,1,True,False,0.28867587587652865,0.28915069087347356,0.0,11108.022441498453
B_n2,B,2,True,False,0.28867587587652865,0.28915069087347356,0.0,31395.363075080237
B_n3,B,3,True,False,0.28867587587652865,0.28915069087347356,0.0,153478.27937890394
C_n1,C,1,True,False,0.28867587587652865,0.28915069087347356,0.0,29666.07957252978
C_n2,C,2,True,False,0.28867587587652865,0.28915069087347356,0.0,47484.19265128062
C_n3,C,3,True,False,0.28867587587652865,0.28915069087347356,0.0,176071.5464424389
D_n1,D,1,True,True,0.28867587587652865,0.28915069087347356,64.0,37320.86565792277
D_n2,D,2,True,True,0.28867587587652865,0.28915069087347356,64.0,55616.094987563316
D_n3,D,3,True,True,0.28867587587652865,0.28915069087347356,64.0,190085.54612719984
E_n1,E,1,True,True,0.28867587587652865,0.28915069087347356,64.0,7902.6277825562665
E_n2,E,2,True,True,0.28867587587652865,0.28915069087347356,64.0,32269.529821498487
E_n3,E,3,True,True,0.28867587587652865,0.28915069087347356,64.0,167784.67351917413
