experiment_id,feature,count,min,max,mean,std,p01,p05,p50,p95,p99,abs_max,bound_hit_count
ALL,directional_volume,13875,-8.0,1.5887547924721763,-0.028654176490512853,0.7966193515374389,-2.5714408417916252,-1.4791069654368956,0.0,0.9090260774962838,1.2473013552620615,8.0,12
ALL,price_acceleration,13875,-6.960568919477537,8.0,-0.025863444078500702,1.002940500036973,-2.157779708109153,-1.597450334021992,0.0,1.501673483800496,2.1621929197018797,8.0,15
ALL,price_displacement,13875,-7.844775584914058,8.0,-0.05698768333195762,1.062219876891189,-2.655838827766199,-1.5195801782883498,0.0,1.5720806032239525,1.8886617748213415,8.0,15
ALL,price_velocity,13875,-7.844775584914058,8.0,-0.06842635731996415,1.0627958130491948,-2.655838827766199,-1.4976672756497722,0.0,1.5768431492414758,2.0225064774417865,8.0,15
ALL,relative_volume,13875,-0.28915069087347356,0.0,-0.10694864129523737,0.08050942843145599,-0.27775262028247405,-0.2423795672559116,-0.12044302179781641,0.0,0.0,0.28915069087347356,0
ALL,spread,13875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ALL,spread_change,13875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ALL,volume_density,13875,-0.28867587587652865,0.0,-0.10695653643586474,0.08051321221157604,-0.27735081366996556,-0.24253615543030138,-0.12038609497363227,0.0,0.0,0.28867587587652865,0
ALL,volume_log,13875,-0.3421510837869035,1.0793247263826191,-0.10638269012828161,0.09764453608637491,-0.30255604976969586,-0.25490557452011564,-0.11544719539430809,0.0,0.0,1.0793247263826191,0
ALL,volume_movement_abs,13875,-1.6964096383397962,8.0,0.08215665007418443,0.8305976790099914,-1.5443192514881505,-1.212590375781966,0.0,1.6158494091915832,2.24451872130474,8.0,12
ALL,volume_movement_signed,13875,-7.774881765910586,8.0,-0.0427664136237693,0.9507518579087557,-2.4937026457640217,-1.44397054957385,0.0,1.5070528086772363,1.9320094587615355,8.0,12
A_n1,directional_volume,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A_n1,price_acceleration,925,-6.960568919477537,8.0,-0.025863444078500705,1.002940500036973,-2.1430042883437266,-1.5972227889853512,0.0,1.5008516325437204,2.160713751481732,8.0,1
A_n1,price_displacement,925,-7.844775584914058,8.0,-0.05698768333195762,1.062219876891189,-2.6341307454010177,-1.517601707852458,0.0,1.5715622615804228,1.888088523331769,8.0,1
A_n1,price_velocity,925,-7.844775584914058,8.0,-0.06842635731996415,1.0627958130491948,-2.6341307454010177,-1.496748148915679,0.0,1.5758906400379709,2.0165429683694724,8.0,1
A_n1,relative_volume,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A_n1,spread,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A_n1,spread_change,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A_n1,volume_density,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A_n1,volume_log,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A_n1,volume_movement_abs,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A_n1,volume_movement_signed,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A_n2,directional_volume,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A_n2,price_acceleration,925,-6.960568919477537,8.0,-0.025863444078500705,1.002940500036973,-2.1430042883437266,-1.5972227889853512,0.0,1.5008516325437204,2.160713751481732,8.0,1
A_n2,price_displacement,925,-7.844775584914058,8.0,-0.05698768333195762,1.062219876891189,-2.6341307454010177,-1.517601707852458,0.0,1.5715622615804228,1.888088523331769,8.0,1
A_n2,price_velocity,925,-7.844775584914058,8.0,-0.06842635731996415,1.0627958130491948,-2.6341307454010177,-1.496748148915679,0.0,1.5758906400379709,2.0165429683694724,8.0,1
A_n2,relative_volume,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A_n2,spread,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A_n2,spread_change,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A_n2,volume_density,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A_n2,volume_log,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A_n2,volume_movement_abs,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A_n2,volume_movement_signed,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A_n3,directional_volume,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A_n3,price_acceleration,925,-6.960568919477537,8.0,-0.025863444078500705,1.002940500036973,-2.1430042883437266,-1.5972227889853512,0.0,1.5008516325437204,2.160713751481732,8.0,1
A_n3,price_displacement,925,-7.844775584914058,8.0,-0.05698768333195762,1.062219876891189,-2.6341307454010177,-1.517601707852458,0.0,1.5715622615804228,1.888088523331769,8.0,1
A_n3,price_velocity,925,-7.844775584914058,8.0,-0.06842635731996415,1.0627958130491948,-2.6341307454010177,-1.496748148915679,0.0,1.5758906400379709,2.0165429683694724,8.0,1
A_n3,relative_volume,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A_n3,spread,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A_n3,spread_change,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A_n3,volume_density,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A_n3,volume_log,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A_n3,volume_movement_abs,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A_n3,volume_movement_signed,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
B_n1,directional_volume,925,-8.0,1.5887547924721763,-0.03581772061314107,0.890503457170677,-2.7579340451539784,-1.558095735980293,0.06238053458220185,0.9497262307260884,1.2525317615193707,8.0,1
B_n1,price_acceleration,925,-6.960568919477537,8.0,-0.025863444078500705,1.002940500036973,-2.1430042883437266,-1.5972227889853512,0.0,1.5008516325437204,2.160713751481732,8.0,1
B_n1,price_displacement,925,-7.844775584914058,8.0,-0.05698768333195762,1.062219876891189,-2.6341307454010177,-1.517601707852458,0.0,1.5715622615804228,1.888088523331769,8.0,1
B_n1,price_velocity,925,-7.844775584914058,8.0,-0.06842635731996415,1.0627958130491948,-2.6341307454010177,-1.496748148915679,0.0,1.5758906400379709,2.0165429683694724,8.0,1
B_n1,relative_volume,925,-0.28915069087347356,0.0,-0.13368580161904675,0.06728916236693874,-0.28562610263620675,-0.24963694328219835,-0.13158655143595155,0.0,0.0,0.28915069087347356,0
B_n1,spread,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
B_n1,spread_change,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
B_n1,volume_density,925,-0.28867587587652865,0.0,-0.13369567054483092,0.06729089991444942,-0.2859573060958147,-0.2500005458784254,-0.13130693298150653,0.0,0.0,0.28867587587652865,0
B_n1,volume_log,925,-0.3421510837869035,1.0793247263826191,-0.132978362660352,0.0915500971995038,-0.30523007952311965,-0.26185094302463685,-0.14193155190324594,0.0,0.0,1.0793247263826191,0
B_n1,volume_movement_abs,925,-1.6964096383397962,8.0,0.10269581259273054,0.9275000509359362,-1.5471169160908858,-1.263459162526229,0.0,1.698809804607686,2.302559805586063,8.0,1
B_n1,volume_movement_signed,925,-7.774881765910586,8.0,-0.05345801702971164,1.062704012050975,-2.6589389685387848,-1.51901572821799,0.0,1.5876532927169165,1.9802533523724715,8.0,1
B_n2,directional_volume,925,-8.0,1.5887547924721763,-0.03581772061314107,0.890503457170677,-2.7579340451539784,-1.558095735980293,0.06238053458220185,0.9497262307260884,1.2525317615193707,8.0,1
B_n2,price_acceleration,925,-6.960568919477537,8.0,-0.025863444078500705,1.002940500036973,-2.1430042883437266,-1.5972227889853512,0.0,1.5008516325437204,2.160713751481732,8.0,1
B_n2,price_displacement,925,-7.844775584914058,8.0,-0.05698768333195762,1.062219876891189,-2.6341307454010177,-1.517601707852458,0.0,1.5715622615804228,1.888088523331769,8.0,1
B_n2,price_velocity,925,-7.844775584914058,8.0,-0.06842635731996415,1.0627958130491948,-2.6341307454010177,-1.496748148915679,0.0,1.5758906400379709,2.0165429683694724,8.0,1
B_n2,relative_volume,925,-0.28915069087347356,0.0,-0.13368580161904675,0.06728916236693874,-0.28562610263620675,-0.24963694328219835,-0.13158655143595155,0.0,0.0,0.28915069087347356,0
B_n2,spread,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
B_n2,spread_change,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
B_n2,volume_density,925,-0.28867587587652865,0.0,-0.13369567054483092,0.06729089991444942,-0.2859573060958147,-0.2500005458784254,-0.13130693298150653,0.0,0.0,0.28867587587652865,0
B_n2,volume_log,925,-0.3421510837869035,1.0793247263826191,-0.132978362660352,0.0915500971995038,-0.30523007952311965,-0.26185094302463685,-0.14193155190324594,0.0,0.0,1.0793247263826191,0
B_n2,volume_movement_abs,925,-1.6964096383397962,8.0,0.10269581259273054,0.9275000509359362,-1.5471169160908858,-1.263459162526229,0.0,1.698809804607686,2.302559805586063,8.0,1
B_n2,volume_movement_signed,925,-7.774881765910586,8.0,-0.05345801702971164,1.062704012050975,-2.6589389685387848,-1.51901572821799,0.0,1.5876532927169165,1.9802533523724715,8.0,1
B_n3,directional_volume,925,-8.0,1.5887547924721763,-0.03581772061314107,0.890503457170677,-2.7579340451539784,-1.558095735980293,0.06238053458220185,0.9497262307260884,1.2525317615193707,8.0,1
B_n3,price_acceleration,925,-6.960568919477537,8.0,-0.025863444078500705,1.002940500036973,-2.1430042883437266,-1.5972227889853512,0.0,1.5008516325437204,2.160713751481732,8.0,1
B_n3,price_displacement,925,-7.844775584914058,8.0,-0.05698768333195762,1.062219876891189,-2.6341307454010177,-1.517601707852458,0.0,1.5715622615804228,1.888088523331769,8.0,1
B_n3,price_velocity,925,-7.844775584914058,8.0,-0.06842635731996415,1.0627958130491948,-2.6341307454010177,-1.496748148915679,0.0,1.5758906400379709,2.0165429683694724,8.0,1
B_n3,relative_volume,925,-0.28915069087347356,0.0,-0.13368580161904675,0.06728916236693874,-0.28562610263620675,-0.24963694328219835,-0.13158655143595155,0.0,0.0,0.28915069087347356,0
B_n3,spread,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
B_n3,spread_change,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
B_n3,volume_density,925,-0.28867587587652865,0.0,-0.13369567054483092,0.06729089991444942,-0.2859573060958147,-0.2500005458784254,-0.13130693298150653,0.0,0.0,0.28867587587652865,0
B_n3,volume_log,925,-0.3421510837869035,1.0793247263826191,-0.132978362660352,0.0915500971995038,-0.30523007952311965,-0.26185094302463685,-0.14193155190324594,0.0,0.0,1.0793247263826191,0
B_n3,volume_movement_abs,925,-1.6964096383397962,8.0,0.10269581259273054,0.9275000509359362,-1.5471169160908858,-1.263459162526229,0.0,1.698809804607686,2.302559805586063,8.0,1
B_n3,volume_movement_signed,925,-7.774881765910586,8.0,-0.05345801702971164,1.062704012050975,-2.6589389685387848,-1.51901572821799,0.0,1.5876532927169165,1.9802533523724715,8.0,1
C_n1,directional_volume,925,-8.0,1.5887547924721763,-0.03581772061314107,0.890503457170677,-2.7579340451539784,-1.558095735980293,0.06238053458220185,0.9497262307260884,1.2525317615193707,8.0,1
C_n1,price_acceleration,925,-6.960568919477537,8.0,-0.025863444078500705,1.002940500036973,-2.1430042883437266,-1.5972227889853512,0.0,1.5008516325437204,2.160713751481732,8.0,1
C_n1,price_displacement,925,-7.844775584914058,8.0,-0.05698768333195762,1.062219876891189,-2.6341307454010177,-1.517601707852458,0.0,1.5715622615804228,1.888088523331769,8.0,1
C_n1,price_velocity,925,-7.844775584914058,8.0,-0.06842635731996415,1.0627958130491948,-2.6341307454010177,-1.496748148915679,0.0,1.5758906400379709,2.0165429683694724,8.0,1
C_n1,relative_volume,925,-0.28915069087347356,0.0,-0.13368580161904675,0.06728916236693874,-0.28562610263620675,-0.24963694328219835,-0.13158655143595155,0.0,0.0,0.28915069087347356,0
C_n1,spread,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C_n1,spread_change,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C_n1,volume_density,925,-0.28867587587652865,0.0,-0.13369567054483092,0.06729089991444942,-0.2859573060958147,-0.2500005458784254,-0.13130693298150653,0.0,0.0,0.28867587587652865,0
C_n1,volume_log,925,-0.3421510837869035,1.0793247263826191,-0.132978362660352,0.0915500971995038,-0.30523007952311965,-0.26185094302463685,-0.14193155190324594,0.0,0.0,1.0793247263826191,0
C_n1,volume_movement_abs,925,-1.6964096383397962,8.0,0.10269581259273054,0.9275000509359362,-1.5471169160908858,-1.263459162526229,0.0,1.698809804607686,2.302559805586063,8.0,1
C_n1,volume_movement_signed,925,-7.774881765910586,8.0,-0.05345801702971164,1.062704012050975,-2.6589389685387848,-1.51901572821799,0.0,1.5876532927169165,1.9802533523724715,8.0,1
C_n2,directional_volume,925,-8.0,1.5887547924721763,-0.03581772061314107,0.890503457170677,-2.7579340451539784,-1.558095735980293,0.06238053458220185,0.9497262307260884,1.2525317615193707,8.0,1
C_n2,price_acceleration,925,-6.960568919477537,8.0,-0.025863444078500705,1.002940500036973,-2.1430042883437266,-1.5972227889853512,0.0,1.5008516325437204,2.160713751481732,8.0,1
C_n2,price_displacement,925,-7.844775584914058,8.0,-0.05698768333195762,1.062219876891189,-2.6341307454010177,-1.517601707852458,0.0,1.5715622615804228,1.888088523331769,8.0,1
C_n2,price_velocity,925,-7.844775584914058,8.0,-0.06842635731996415,1.0627958130491948,-2.6341307454010177,-1.496748148915679,0.0,1.5758906400379709,2.0165429683694724,8.0,1
C_n2,relative_volume,925,-0.28915069087347356,0.0,-0.13368580161904675,0.06728916236693874,-0.28562610263620675,-0.24963694328219835,-0.13158655143595155,0.0,0.0,0.28915069087347356,0
C_n2,spread,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C_n2,spread_change,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C_n2,volume_density,925,-0.28867587587652865,0.0,-0.13369567054483092,0.06729089991444942,-0.2859573060958147,-0.2500005458784254,-0.13130693298150653,0.0,0.0,0.28867587587652865,0
C_n2,volume_log,925,-0.3421510837869035,1.0793247263826191,-0.132978362660352,0.0915500971995038,-0.30523007952311965,-0.26185094302463685,-0.14193155190324594,0.0,0.0,1.0793247263826191,0
C_n2,volume_movement_abs,925,-1.6964096383397962,8.0,0.10269581259273054,0.9275000509359362,-1.5471169160908858,-1.263459162526229,0.0,1.698809804607686,2.302559805586063,8.0,1
C_n2,volume_movement_signed,925,-7.774881765910586,8.0,-0.05345801702971164,1.062704012050975,-2.6589389685387848,-1.51901572821799,0.0,1.5876532927169165,1.9802533523724715,8.0,1
C_n3,directional_volume,925,-8.0,1.5887547924721763,-0.03581772061314107,0.890503457170677,-2.7579340451539784,-1.558095735980293,0.06238053458220185,0.9497262307260884,1.2525317615193707,8.0,1
C_n3,price_acceleration,925,-6.960568919477537,8.0,-0.025863444078500705,1.002940500036973,-2.1430042883437266,-1.5972227889853512,0.0,1.5008516325437204,2.160713751481732,8.0,1
C_n3,price_displacement,925,-7.844775584914058,8.0,-0.05698768333195762,1.062219876891189,-2.6341307454010177,-1.517601707852458,0.0,1.5715622615804228,1.888088523331769,8.0,1
C_n3,price_velocity,925,-7.844775584914058,8.0,-0.06842635731996415,1.0627958130491948,-2.6341307454010177,-1.496748148915679,0.0,1.5758906400379709,2.0165429683694724,8.0,1
C_n3,relative_volume,925,-0.28915069087347356,0.0,-0.13368580161904675,0.06728916236693874,-0.28562610263620675,-0.24963694328219835,-0.13158655143595155,0.0,0.0,0.28915069087347356,0
C_n3,spread,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C_n3,spread_change,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C_n3,volume_density,925,-0.28867587587652865,0.0,-0.13369567054483092,0.06729089991444942,-0.2859573060958147,-0.2500005458784254,-0.13130693298150653,0.0,0.0,0.28867587587652865,0
C_n3,volume_log,925,-0.3421510837869035,1.0793247263826191,-0.132978362660352,0.0915500971995038,-0.30523007952311965,-0.26185094302463685,-0.14193155190324594,0.0,0.0,1.0793247263826191,0
C_n3,volume_movement_abs,925,-1.6964096383397962,8.0,0.10269581259273054,0.9275000509359362,-1.5471169160908858,-1.263459162526229,0.0,1.698809804607686,2.302559805586063,8.0,1
C_n3,volume_movement_signed,925,-7.774881765910586,8.0,-0.05345801702971164,1.062704012050975,-2.6589389685387848,-1.51901572821799,0.0,1.5876532927169165,1.9802533523724715,8.0,1
D_n1,directional_volume,925,-8.0,1.5887547924721763,-0.03581772061314107,0.890503457170677,-2.7579340451539784,-1.558095735980293,0.06238053458220185,0.9497262307260884,1.2525317615193707,8.0,1
D_n1,price_acceleration,925,-6.960568919477537,8.0,-0.025863444078500705,1.002940500036973,-2.1430042883437266,-1.5972227889853512,0.0,1.5008516325437204,2.160713751481732,8.0,1
D_n1,price_displacement,925,-7.844775584914058,8.0,-0.05698768333195762,1.062219876891189,-2.6341307454010177,-1.517601707852458,0.0,1.5715622615804228,1.888088523331769,8.0,1
D_n1,price_velocity,925,-7.844775584914058,8.0,-0.06842635731996415,1.0627958130491948,-2.6341307454010177,-1.496748148915679,0.0,1.5758906400379709,2.0165429683694724,8.0,1
D_n1,relative_volume,925,-0.28915069087347356,0.0,-0.13368580161904675,0.06728916236693874,-0.28562610263620675,-0.24963694328219835,-0.13158655143595155,0.0,0.0,0.28915069087347356,0
D_n1,spread,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
D_n1,spread_change,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
D_n1,volume_density,925,-0.28867587587652865,0.0,-0.13369567054483092,0.06729089991444942,-0.2859573060958147,-0.2500005458784254,-0.13130693298150653,0.0,0.0,0.28867587587652865,0
D_n1,volume_log,925,-0.3421510837869035,1.0793247263826191,-0.132978362660352,0.0915500971995038,-0.30523007952311965,-0.26185094302463685,-0.14193155190324594,0.0,0.0,1.0793247263826191,0
D_n1,volume_movement_abs,925,-1.6964096383397962,8.0,0.10269581259273054,0.9275000509359362,-1.5471169160908858,-1.263459162526229,0.0,1.698809804607686,2.302559805586063,8.0,1
D_n1,volume_movement_signed,925,-7.774881765910586,8.0,-0.05345801702971164,1.062704012050975,-2.6589389685387848,-1.51901572821799,0.0,1.5876532927169165,1.9802533523724715,8.0,1
D_n2,directional_volume,925,-8.0,1.5887547924721763,-0.03581772061314107,0.890503457170677,-2.7579340451539784,-1.558095735980293,0.06238053458220185,0.9497262307260884,1.2525317615193707,8.0,1
D_n2,price_acceleration,925,-6.960568919477537,8.0,-0.025863444078500705,1.002940500036973,-2.1430042883437266,-1.5972227889853512,0.0,1.5008516325437204,2.160713751481732,8.0,1
D_n2,price_displacement,925,-7.844775584914058,8.0,-0.05698768333195762,1.062219876891189,-2.6341307454010177,-1.517601707852458,0.0,1.5715622615804228,1.888088523331769,8.0,1
D_n2,price_velocity,925,-7.844775584914058,8.0,-0.06842635731996415,1.0627958130491948,-2.6341307454010177,-1.496748148915679,0.0,1.5758906400379709,2.0165429683694724,8.0,1
D_n2,relative_volume,925,-0.28915069087347356,0.0,-0.13368580161904675,0.06728916236693874,-0.28562610263620675,-0.24963694328219835,-0.13158655143595155,0.0,0.0,0.28915069087347356,0
D_n2,spread,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
D_n2,spread_change,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
D_n2,volume_density,925,-0.28867587587652865,0.0,-0.13369567054483092,0.06729089991444942,-0.2859573060958147,-0.2500005458784254,-0.13130693298150653,0.0,0.0,0.28867587587652865,0
D_n2,volume_log,925,-0.3421510837869035,1.0793247263826191,-0.132978362660352,0.0915500971995038,-0.30523007952311965,-0.26185094302463685,-0.14193155190324594,0.0,0.0,1.0793247263826191,0
D_n2,volume_movement_abs,925,-1.6964096383397962,8.0,0.10269581259273054,0.9275000509359362,-1.5471169160908858,-1.263459162526229,0.0,1.698809804607686,2.302559805586063,8.0,1
D_n2,volume_movement_signed,925,-7.774881765910586,8.0,-0.05345801702971164,1.062704012050975,-2.6589389685387848,-1.51901572821799,0.0,1.5876532927169165,1.9802533523724715,8.0,1
D_n3,directional_volume,925,-8.0,1.5887547924721763,-0.03581772061314107,0.890503457170677,-2.7579340451539784,-1.558095735980293,0.06238053458220185,0.9497262307260884,1.2525317615193707,8.0,1
D_n3,price_acceleration,925,-6.960568919477537,8.0,-0.025863444078500705,1.002940500036973,-2.1430042883437266,-1.5972227889853512,0.0,1.5008516325437204,2.160713751481732,8.0,1
D_n3,price_displacement,925,-7.844775584914058,8.0,-0.05698768333195762,1.062219876891189,-2.6341307454010177,-1.517601707852458,0.0,1.5715622615804228,1.888088523331769,8.0,1
D_n3,price_velocity,925,-7.844775584914058,8.0,-0.06842635731996415,1.0627958130491948,-2.6341307454010177,-1.496748148915679,0.0,1.5758906400379709,2.0165429683694724,8.0,1
D_n3,relative_volume,925,-0.28915069087347356,0.0,-0.13368580161904675,0.06728916236693874,-0.28562610263620675,-0.24963694328219835,-0.13158655143595155,0.0,0.0,0.28915069087347356,0
D_n3,spread,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
D_n3,spread_change,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
