experiment_id,interaction_term,count,min,max,mean,std,p01,p05,p50,p95,p99,abs_max
ALL,price_velocity_x_acceleration,5550,-4.510354403633787,64.0,0.6985807468235257,2.9361732475239384,-1.1863476129485886,-0.33250051923329105,0.13097176964595725,2.6784739924726657,4.216498807079566,64.0
ALL,relative_volume_x_price_velocity,5550,-1.245862871532394,0.9406611974034605,0.004426195014171452,0.1650427996831577,-0.46225178241248105,-0.2495331885174035,0.0,0.22727516994426925,0.3633709993785044,1.245862871532394
ALL,volume_density_x_price_displacement,5550,-1.1925712430354065,0.9376339612220924,0.003148708151781944,0.16199660027007592,-0.4322383634940802,-0.2488579436114247,0.0,0.22776550021345557,0.36329310881622906,1.1925712430354065
ALL,volume_log_x_price_displacement,5550,-0.8529356894616443,4.186164872427432,0.009331454828659248,0.21487908734085634,-0.41183600929624925,-0.27096596324571115,0.0,0.25341548283356513,0.43427490245547185,4.186164872427432
D_n1,price_velocity_x_acceleration,925,-4.510354403633787,64.0,0.6985807468235256,2.9361732475239384,-1.180169944190142,-0.3313861329900572,0.13097176964595725,2.677769218174314,4.196033993045745,64.0
D_n1,relative_volume_x_price_velocity,925,-1.245862871532394,0.9406611974034605,0.00442619501417145,0.1650427996831577,-0.4565535891142736,-0.24948322043420262,0.0,0.22674846409764396,0.36122783579292495,1.245862871532394
D_n1,volume_density_x_price_displacement,925,-1.1925712430354065,0.9376339612220924,0.003148708151781945,0.1619966002700759,-0.43011656697680467,-0.24862622387726102,0.0,0.2277366317274665,0.3608730836235326,1.1925712430354065
D_n1,volume_log_x_price_displacement,925,-0.8529356894616443,4.186164872427432,0.009331454828659247,0.21487908734085634,-0.4093001767010537,-0.269940089436396,0.0,0.25267739646366455,0.4329619478599369,4.186164872427432
D_n2,price_velocity_x_acceleration,925,-4.510354403633787,64.0,0.6985807468235256,2.9361732475239384,-1.180169944190142,-0.3313861329900572,0.13097176964595725,2.677769218174314,4.196033993045745,64.0
D_n2,relative_volume_x_price_velocity,925,-1.245862871532394,0.9406611974034605,0.00442619501417145,0.1650427996831577,-0.4565535891142736,-0.24948322043420262,0.0,0.22674846409764396,0.36122783579292495,1.245862871532394
D_n2,volume_density_x_price_displacement,925,-1.1925712430354065,0.9376339612220924,0.003148708151781945,0.1619966002700759,-0.43011656697680467,-0.24862622387726102,0.0,0.2277366317274665,0.3608730836235326,1.1925712430354065
D_n2,volume_log_x_price_displacement,925,-0.8529356894616443,4.186164872427432,0.009331454828659247,0.21487908734085634,-0.4093001767010537,-0.269940089436396,0.0,0.25267739646366455,0.4329619478599369,4.186164872427432
D_n3,price_velocity_x_acceleration,925,-4.510354403633787,64.0,0.6985807468235256,2.9361732475239384,-1.180169944190142,-0.3313861329900572,0.13097176964595725,2.677769218174314,4.196033993045745,64.0
D_n3,relative_volume_x_price_velocity,925,-1.245862871532394,0.9406611974034605,0.00442619501417145,0.1650427996831577,-0.4565535891142736,-0.24948322043420262,0.0,0.22674846409764396,0.36122783579292495,1.245862871532394
D_n3,volume_density_x_price_displacement,925,-1.1925712430354065,0.9376339612220924,0.003148708151781945,0.1619966002700759,-0.43011656697680467,-0.24862622387726102,0.0,0.2277366317274665,0.3608730836235326,1.1925712430354065
D_n3,volume_log_x_price_displacement,925,-0.8529356894616443,4.186164872427432,0.009331454828659247,0.21487908734085634,-0.4093001767010537,-0.269940089436396,0.0,0.25267739646366455,0.4329619478599369,4.186164872427432
E_n1,price_velocity_x_acceleration,925,-4.510354403633787,64.0,0.6985807468235256,2.9361732475239384,-1.180169944190142,-0.3313861329900572,0.13097176964595725,2.677769218174314,4.196033993045745,64.0
E_n1,relative_volume_x_price_velocity,925,-1.245862871532394,0.9406611974034605,0.00442619501417145,0.1650427996831577,-0.4565535891142736,-0.24948322043420262,0.0,0.22674846409764396,0.36122783579292495,1.245862871532394
E_n1,volume_density_x_price_displacement,925,-1.1925712430354065,0.9376339612220924,0.003148708151781945,0.1619966002700759,-0.43011656697680467,-0.24862622387726102,0.0,0.2277366317274665,0.3608730836235326,1.1925712430354065
E_n1,volume_log_x_price_displacement,925,-0.8529356894616443,4.186164872427432,0.009331454828659247,0.21487908734085634,-0.4093001767010537,-0.269940089436396,0.0,0.25267739646366455,0.4329619478599369,4.186164872427432
E_n2,price_velocity_x_acceleration,925,-4.510354403633787,64.0,0.6985807468235256,2.9361732475239384,-1.180169944190142,-0.3313861329900572,0.13097176964595725,2.677769218174314,4.196033993045745,64.0
E_n2,relative_volume_x_price_velocity,925,-1.245862871532394,0.9406611974034605,0.00442619501417145,0.1650427996831577,-0.4565535891142736,-0.24948322043420262,0.0,0.22674846409764396,0.36122783579292495,1.245862871532394
E_n2,volume_density_x_price_displacement,925,-1.1925712430354065,0.9376339612220924,0.003148708151781945,0.1619966002700759,-0.43011656697680467,-0.24862622387726102,0.0,0.2277366317274665,0.3608730836235326,1.1925712430354065
E_n2,volume_log_x_price_displacement,925,-0.8529356894616443,4.186164872427432,0.009331454828659247,0.21487908734085634,-0.4093001767010537,-0.269940089436396,0.0,0.25267739646366455,0.4329619478599369,4.186164872427432
E_n3,price_velocity_x_acceleration,925,-4.510354403633787,64.0,0.6985807468235256,2.9361732475239384,-1.180169944190142,-0.3313861329900572,0.13097176964595725,2.677769218174314,4.196033993045745,64.0
E_n3,relative_volume_x_price_velocity,925,-1.245862871532394,0.9406611974034605,0.00442619501417145,0.1650427996831577,-0.4565535891142736,-0.24948322043420262,0.0,0.22674846409764396,0.36122783579292495,1.245862871532394
E_n3,volume_density_x_price_displacement,925,-1.1925712430354065,0.9376339612220924,0.003148708151781945,0.1619966002700759,-0.43011656697680467,-0.24862622387726102,0.0,0.2277366317274665,0.3608730836235326,1.1925712430354065
E_n3,volume_log_x_price_displacement,925,-0.8529356894616443,4.186164872427432,0.009331454828659247,0.21487908734085634,-0.4093001767010537,-0.269940089436396,0.0,0.25267739646366455,0.4329619478599369,4.186164872427432
