experiment_id,scenario,model_time,H_before,H_after,Hf_before,Hf_after,reason,perturbation_magnitude,reinforcement,temporal_weight_before,temporal_weight_after
A_n1,quiet_market,2.002,30.0,30.0,30.0,30.0,perturbation_or_reinforcement,0.0,-0.075,0.9771599684342459,0.9771599684342459
A_n1,quiet_market,3.002,30.0,30.0,30.0,30.0,perturbation_or_reinforcement,0.0,-0.075,0.9771599684342459,0.9771599684342459
A_n1,quiet_market,4.002,30.0,30.0,30.0,30.0,perturbation_or_reinforcement,0.0,-0.075,0.9771599684342459,0.9771599684342459
A_n1,quiet_market,5.002,30.0,30.0,30.0,30.0,perturbation_or_reinforcement,0.0,-0.075,0.9771599684342459,0.9771599684342459
A_n1,quiet_market,6.002,30.0,30.0,30.0,30.0,perturbation_or_reinforcement,0.0,-0.075,0.9771599684342459,0.9771599684342459
A_n1,quiet_market,7.002,30.0,30.0,30.0,30.0,perturbation_or_reinforcement,0.0,-0.075,0.9771599684342459,0.9771599684342459
A_n1,quiet_market,8.002,30.0,30.0,30.0,30.0,perturbation_or_reinforcement,0.0,-0.075,0.9771599684342459,0.9771599684342459
A_n1,quiet_market,9.002,30.0,30.0,30.0,30.0,perturbation_or_reinforcement,0.0,-0.075,0.9771599684342459,0.9771599684342459
A_n1,quiet_market,10.002,30.0,30.0,30.0,30.0,perturbation_or_reinforcement,0.0,-0.075,0.9771599684342459,0.9771599684342459
A_n1,quiet_market,11.002,30.0,30.0,30.0,30.0,perturbation_or_reinforcement,0.0,-0.075,0.9771599684342459,0.9771599684342459
A_n1,quiet_market,12.002,30.0,30.0,30.0,30.0,perturbation_or_reinforcement,0.0,-0.075,0.9771599684342459,0.9771599684342459
A_n1,quiet_market,13.002,30.0,30.9,30.0,30.9,perturbation_or_reinforcement,0.0,-0.07725,0.9771599684342459,0.97781777778459
A_n1,quiet_market,14.002,30.9,34.3006774827987,30.9,34.3006774827987,perturbation_or_reinforcement,0.0,0.06424830629300325,0.97781777778459,0.9799948391846001
A_n1,quiet_market,15.002,34.3006774827987,31.31664692349441,34.3006774827987,31.31664692349441,perturbation_or_reinforcement,0.0,-0.07603721778032933,0.9799948391846001,0.9781096432034597
A_n1,quiet_market,16.002,31.31664692349441,31.397404070945736,31.31664692349441,31.397404070945736,perturbation_or_reinforcement,0.0,0.06972217117293224,0.9781096432034597,0.9781653280895836
A_n1,quiet_market,17.002,31.397404070945736,31.79336471853846,31.397404070945736,31.79336471853846,perturbation_or_reinforcement,0.0,0.0730126077971189,0.9781653280895836,0.9784343076147234
A_n1,quiet_market,18.002,31.79336471853846,32.31667833778474,31.79336471853846,32.31667833778474,perturbation_or_reinforcement,0.0,0.07575152900731555,0.9784343076147234,0.9787797953440027
A_n1,quiet_market,19.002,32.31667833778474,26.874250574918168,32.31667833778474,26.874250574918168,perturbation_or_reinforcement,0.0,0.07465113267701776,0.9787797953440027,0.9745375363240649
A_n1,quiet_market,20.002,26.874250574918168,33.366106186086824,26.874250574918168,33.366106186086824,perturbation_or_reinforcement,0.0,0.08978002468642227,0.9745375363240649,0.9794403021453926
A_n1,quiet_market,21.002,33.366106186086824,29.342941634688955,33.366106186086824,29.342941634688955,perturbation_or_reinforcement,0.0,-0.07662550816032504,0.9794403021453926,0.9766545421412893
A_n1,quiet_market,22.002,29.342941634688955,31.146865954702132,29.342941634688955,31.146865954702132,perturbation_or_reinforcement,0.0,0.06958331569528804,0.9766545421412893,0.9779916420640222
A_n1,quiet_market,23.002,31.146865954702132,32.92820762383419,31.146865954702132,32.92820762383419,perturbation_or_reinforcement,0.0,-0.050445816673146106,0.9779916420640222,0.9791697547588832
A_n1,quiet_market,24.002,32.92820762383419,35.912065668178286,32.92820762383419,35.912065668178286,perturbation_or_reinforcement,0.0,0.0870617784150197,0.9791697547588832,0.9808838422348833
A_n1,quiet_market,25.002,35.912065668178286,39.58908403051222,35.912065668178286,39.58908403051222,perturbation_or_reinforcement,0.0,0.09824862834908002,0.9808838422348833,0.9826438408909405
A_n1,quiet_market,26.002,39.58908403051222,21.852301358099112,39.58908403051222,21.852301358099112,perturbation_or_reinforcement,0.1,-0.07632891957018573,0.9826438408909405,0.9687781485095464
A_n1,quiet_market,27.002,21.852301358099112,28.782933890097755,21.852301358099112,28.782933890097755,perturbation_or_reinforcement,0.07129410257291963,-0.015249261599179852,0.9687781485095464,0.9762057740589001
A_n1,quiet_market,28.002,28.782933890097755,37.718097411535965,28.782933890097755,37.718097411535965,perturbation_or_reinforcement,0.006850816822476931,0.09576475202976595,0.9762057740589001,0.9817907830713586
A_n1,quiet_market,29.002,37.718097411535965,25.654027875825687,37.718097411535965,25.654027875825687,perturbation_or_reinforcement,0.10612889530105388,-0.06681659328075865,0.9817907830713586,0.9733427098428384
A_n1,quiet_market,30.002,25.654027875825687,30.545700054593947,25.654027875825687,30.545700054593947,perturbation_or_reinforcement,-0.005970995462308013,-0.054682156739487515,0.9733427098428384,0.9775633940053312
A_n1,quiet_market,31.002,30.545700054593947,29.23459661585869,30.545700054593947,29.23459661585869,perturbation_or_reinforcement,0.028476701027072063,-0.08772553490283952,0.9775633940053312,0.976569044207572
A_n1,quiet_market,32.002,29.23459661585869,29.635819483537645,29.23459661585869,29.635819483537645,perturbation_or_reinforcement,0.09332328833271476,-0.030451847793901875,0.976569044207572,0.9768825674563465
A_n1,quiet_market,33.002,29.635819483537645,29.306777131910504,29.635819483537645,29.306777131910504,perturbation_or_reinforcement,0.10498400429072481,-0.064216609191525,0.9768825674563465,0.9766260732278199
A_n1,quiet_market,34.002,29.306777131910504,30.897606810361175,29.306777131910504,30.897606810361175,perturbation_or_reinforcement,0.019841541425480783,0.04967642158458988,0.9766260732278199,0.9778160788494275
A_n1,quiet_market,35.002,30.897606810361175,28.65582729374077,30.897606810361175,28.65582729374077,perturbation_or_reinforcement,0.007842367456786497,-0.07282627979513318,0.9778160788494275,0.9761015030162611
A_n1,quiet_market,36.002,28.65582729374077,33.1077076928918,28.65582729374077,33.1077076928918,perturbation_or_reinforcement,0.015149219861548309,0.07568562133457504,0.9761015030162611,0.9792815119944465
A_n1,quiet_market,37.002,33.1077076928918,32.41467482212805,33.1077076928918,32.41467482212805,perturbation_or_reinforcement,0.018850446147010667,-0.0767945861788188,0.9792815119944465,0.9788432650736297
A_n1,quiet_market,38.002,32.41467482212805,33.1835423409564,32.41467482212805,33.1835423409564,perturbation_or_reinforcement,0.015629358719907435,0.06002847531365037,0.9788432650736297,0.9793283673485618
A_n1,quiet_market,39.002,33.1835423409564,34.985733369077664,33.1835423409564,34.985733369077664,perturbation_or_reinforcement,0.013787110405306686,0.06864579966824205,0.9793283673485618,0.9803826924912172
A_n1,quiet_market,40.002,34.985733369077664,35.14625247747686,34.985733369077664,35.14625247747686,perturbation_or_reinforcement,0.011712432667567637,0.07543272166284094,0.9803826924912172,0.9804714075772345
A_n1,quiet_market,41.002,35.14625247747686,22.0233525052814,35.14625247747686,22.0233525052814,perturbation_or_reinforcement,0.008203495092840404,-0.08745248109316496,0.9804714075772345,0.9690168464506376
A_n1,quiet_market,42.002,22.0233525052814,33.50314664211053,22.0233525052814,33.50314664211053,perturbation_or_reinforcement,0.015891604131199145,-0.05494700139345386,0.9690168464506376,0.9795235320798639
A_n1,quiet_market,43.002,33.50314664211053,34.71336394744512,33.50314664211053,34.71336394744512,perturbation_or_reinforcement,0.011336840045384404,0.08028879802640378,0.9795235320798639,0.9802303019518498
A_n1,quiet_market,44.002,34.71336394744512,26.524287469986316,34.71336394744512,26.524287469986316,perturbation_or_reinforcement,0.008507528183411855,-0.09283957413184961,0.9802303019518498,0.9742059532823437
A_n1,quiet_market,45.002,26.524287469986316,34.146457163086986,26.524287469986316,34.146457163086986,perturbation_or_reinforcement,0.014339407067775768,-0.047341822498696624,0.9742059532823437,0.9799054010604555
A_n1,quiet_market,46.002,34.146457163086986,34.68623607791466,34.146457163086986,34.68623607791466,perturbation_or_reinforcement,0.00867778923921066,0.07581299133854749,0.9799054010604555,0.9802149941791631
A_n1,quiet_market,47.002,34.68623607791466,27.354368282164664,34.68623607791466,27.354368282164664,perturbation_or_reinforcement,0.008864169912770972,-0.08885016729605803,0.9802149941791631,0.9749788089736304
A_n1,quiet_market,48.002,27.354368282164664,33.83234993303423,27.354368282164664,33.83234993303423,perturbation_or_reinforcement,0.011174714822165593,-0.06636256739981737,0.9749788089736304,0.9797207427713921
A_n1,quiet_market,49.002,33.83234993303423,36.75402133768772,33.83234993303423,36.75402133768772,perturbation_or_reinforcement,0.008342387762831766,0.082655725706585,0.9797207427713921,0.9813176357275186
A_n1,quiet_market,50.002,36.75402133768772,35.50653020961353,36.75402133768772,35.50653020961353,perturbation_or_reinforcement,0.006976897483237588,0.08050770113748115,0.9813176357275186,0.9806676324295581
A_n1,quiet_market,51.002,35.50653020961353,33.63160654180736,35.50653020961353,33.63160654180736,perturbation_or_reinforcement,0.007565782033086427,-0.0725147966766215,0.9806676324295581,0.9796009411519941
A_n1,quiet_market,52.002,33.63160654180736,24.19639174490637,33.63160654180736,24.19639174490637,perturbation_or_reinforcement,0.009679296680112233,-0.10893731786008051,0.9796009411519941,0.9717597102653576
A_n1,quiet_market,53.002,24.19639174490637,31.322978074336863,24.19639174490637,31.322978074336863,perturbation_or_reinforcement,0.010578220967692894,0.06677013470845028,0.9717597102653576,0.9781140190122024
A_n1,quiet_market,54.002,31.322978074336863,33.47225976469019,31.322978074336863,33.47225976469019,perturbation_or_reinforcement,0.008439009900617907,-0.055550286785522235,0.9781140190122024,0.9795048321678772
A_n1,quiet_market,55.002,33.47225976469019,28.137923701047793,33.47225976469019,28.137923701047793,perturbation_or_reinforcement,0.007103151824304793,-0.10650576753451209,0.9795048321678772,0.9756670251129147
A_n1,quiet_market,56.002,28.137923701047793,31.30839824085133,28.137923701047793,31.30839824085133,perturbation_or_reinforcement,0.009635379177823578,-0.06124626410225949,0.9756670251129147,0.9781039394568303
A_n1,quiet_market,57.002,31.30839824085133,31.23078323023293,31.30839824085133,31.23078323023293,perturbation_or_reinforcement,0.006567053409926774,-0.09894378468099217,0.9781039394568303,0.9780501248071501
A_n1,quiet_market,58.002,31.23078323023293,31.662342676331896,31.23078323023293,31.662342676331896,perturbation_or_reinforcement,0.008111399819778648,-0.06733047749269387,0.9780501248071501,0.9783460398008742
A_n1,quiet_market,59.002,31.662342676331896,30.45262269057577,31.662342676331896,30.45262269057577,perturbation_or_reinforcement,0.006308625506663453,-0.10641715852966972,0.9783460398008742,0.977495594797153
A_n1,quiet_market,60.002,30.45262269057577,31.541036080200467,30.45262269057577,31.541036080200467,perturbation_or_reinforcement,0.008170282837742399,0.06573819066210251,0.977495594797153,0.9782636705557038
A_n1,quiet_market,61.002,31.541036080200467,31.413737559726552,31.541036080200467,31.413737559726552,perturbation_or_reinforcement,0.005930682365328591,0.08930120717944812,0.9782636705557038,0.9781765561779929
A_n1,quiet_market,62.002,31.413737559726552,33.2651743772778,31.413737559726552,33.2651743772778,perturbation_or_reinforcement,0.0041725910453453184,0.07657915770035635,0.9781765561779929,0.9793785684224048
A_n1,quiet_market,63.002,33.2651743772778,34.138907534103396,33.2651743772778,34.138907534103396,perturbation_or_reinforcement,0.004652687041996152,0.08199270238052815,0.9793785684224048,0.9799010022122348
A_n1,quiet_market,64.002,34.138907534103396,30.794662926143317,34.138907534103396,30.794662926143317,perturbation_or_reinforcement,0.005466338864170075,-0.09693683036986155,0.9799010022122348,0.9777427513956847
A_n1,quiet_market,65.002,30.794662926143317,34.761305597170235,30.794662926143317,34.761305597170235,perturbation_or_reinforcement,0.0054752312128244435,-0.051223892110709074,0.9777427513956847,0.9802572967297075
A_n1,quiet_market,66.002,34.761305597170235,37.65806023354001,34.761305597170235,37.65806023354001,perturbation_or_reinforcement,0.003120387485198585,0.09323501704403188,0.9802572967297075,0.9817620189841654
A_n1,quiet_market,67.002,37.65806023354001,30.34288134893421,37.65806023354001,30.34288134893421,perturbation_or_reinforcement,0.004485745486571269,-0.09830345316839617,0.9817620189841654,0.9774151290331767
A_n1,quiet_market,68.002,30.34288134893421,30.34688853061173,30.34288134893421,30.34688853061173,perturbation_or_reinforcement,0.006211276961074922,0.04938903332043913,0.9774151290331767,0.977418077343667
A_n1,quiet_market,69.002,30.34688853061173,27.74551220218515,30.34688853061173,27.74551220218515,perturbation_or_reinforcement,0.0070526982402561835,0.026725816809927125,0.977418077343667,0.9753271586071685
A_n1,quiet_market,70.002,27.74551220218515,31.33851461190108,27.74551220218515,31.33851461190108,perturbation_or_reinforcement,0.10634450752880759,-0.03115581052125823,0.9753271586071685,0.9781247497630663
A_n1,quiet_market,71.002,31.33851461190108,32.14032085333071,31.33851461190108,32.14032085333071,perturbation_or_reinforcement,0.0012642520020562861,-0.08048420949013223,0.9781247497630663,0.9786646087669355
A_n1,quiet_market,72.002,32.14032085333071,35.13632416695145,32.14032085333071,35.13632416695145,perturbation_or_reinforcement,0.017162764476427856,0.07420683136915714,0.9786646087669355,0.9804659437219697
A_n1,quiet_market,73.002,35.13632416695145,30.680447309462142,35.13632416695145,30.680447309462142,perturbation_or_reinforcement,-0.0007686269947695754,-0.08771235257166685,0.9804659437219697,0.9776608256849897
A_n1,quiet_market,74.002,30.680447309462142,33.361110422623355,30.680447309462142,33.361110422623355,perturbation_or_reinforcement,0.011783199338352302,0.0725959791659478,0.9776608256849897,0.9794372552426046
A_n1,quiet_market,75.002,33.361110422623355,25.623127232526272,33.361110422623355,25.623127232526272,perturbation_or_reinforcement,-0.010689456977286297,-0.11182008596731763,0.9794372552426046,0.9733109948957369
A_n1,quiet_market,76.002,25.623127232526272,30.931089489748665,25.623127232526272,30.931089489748665,perturbation_or_reinforcement,0.00819983944083328,0.05883401321184485,0.9733109948957369,0.9778398247176453
A_n1,quiet_market,77.002,30.931089489748665,30.944883537945067,30.931089489748665,30.944883537945067,perturbation_or_reinforcement,0.018641052727569354,-0.054772247974649656,0.9778398247176453,0.9778495926584745
A_n1,quiet_market,78.002,30.944883537945067,34.3815961931078,30.944883537945067,34.3815961931078,perturbation_or_reinforcement,0.012195105041401198,0.08141928371454488,0.9778495926584745,0.9800414492590213
A_n1,quiet_market,79.002,34.3815961931078,29.49302702931531,34.3815961931078,29.49302702931531,perturbation_or_reinforcement,-0.003915610391145579,-0.09900215856376936,0.9800414492590213,0.9767719529208579
