experiment_id,term,count,min,max,mean,std,p01,p05,p50,p95,p99,abs_max
ALL,bias,13875,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ALL,directional_volume,13875,-8.0,1.5887547924721763,-0.028654176490512853,0.7966193515374389,-2.5714408417916252,-1.4791069654368956,0.0,0.9090260774962838,1.2473013552620615,8.0
ALL,directional_volume^2,9250,0.0,64.0,0.6354234530742789,2.9438938036573385,0.0,0.0,0.05667779891011872,2.2560103421101427,6.612308002834022,64.0
ALL,directional_volume^3,4625,-512.0,4.010242366700306,-1.5216679846770287,20.780720472835295,-17.003158856993018,-3.2310874587022425,0.0,0.7505142424913865,1.940502393200369,512.0
ALL,price_acceleration,13875,-6.960568919477537,8.0,-0.025863444078500702,1.002940500036973,-2.157779708109153,-1.597450334021992,0.0,1.501673483800496,2.1621929197018797,8.0
ALL,price_acceleration^2,9250,0.0,64.0,1.0065585643540154,3.504244021459928,0.0,0.0,0.2179434911079748,3.563595277670686,5.6367064089561785,64.0
ALL,price_acceleration^3,4625,-337.23622086768984,512.0,0.4038490094199209,24.863475457719623,-10.046650951947433,-4.076449752537717,0.0,3.3863086228061565,10.10842103068018,512.0
ALL,price_displacement,13875,-7.844775584914058,8.0,-0.05698768333195762,1.062219876891189,-2.655838827766199,-1.5195801782883498,0.0,1.5720806032239525,1.8886617748213415,8.0
ALL,price_displacement^2,9250,0.0,64.0,1.1315586629142764,3.414402702818406,0.0,0.0,0.4587561356912473,3.1410115707454334,8.885558929572692,64.0
ALL,price_displacement^3,4625,-482.77144308728265,512.0,-0.5306738230311032,24.427675279164905,-18.732905733703166,-3.5088989353794453,0.0,3.8852988348319477,6.73693832922177,512.0
ALL,price_velocity,13875,-7.844775584914058,8.0,-0.06842635731996415,1.0627958130491948,-2.655838827766199,-1.4976672756497722,0.0,1.5768431492414758,2.0225064774417865,8.0
ALL,price_velocity^2,9250,0.0,64.0,1.1342171066109783,3.483551813027813,0.0,0.0,0.4168328366846083,3.1935243988523823,9.014638759168141,64.0
