experiment_id,total_parameter_drift,mean_drift_per_update,median_drift,max_drift,drift_per_observation
A_n1,5802.322828454187,6.272781436166689,nan,796.87024882334,6.272781436166689
A_n2,11287.015193384343,12.202178587442532,nan,62575.46165049929,12.202178587442532
A_n3,40948.707828916784,44.26887332855868,nan,3199963.093138438,44.26887332855868
B_n1,11108.022441498453,12.008672909728057,nan,1339.8367124077054,12.008672909728057
B_n2,31395.363075080237,33.9409330541408,nan,105264.55748416987,33.9409330541408
B_n3,153478.27937890394,165.92246419340967,nan,5914790.71317943,165.92246419340967
C_n1,29666.07957252978,32.071437375707866,nan,3000.071704896149,32.071437375707866
C_n2,47484.19265128062,51.33426232570878,nan,95113.80653208653,51.33426232570878
C_n3,176071.5464424389,190.34761777560962,nan,4743696.556062873,190.34761777560962
D_n1,37320.86565792277,40.34688179234894,nan,9284.432368104704,40.34688179234894
D_n2,55616.094987563316,60.12550809466305,nan,112304.0124859282,60.12550809466305
D_n3,190085.54612719984,205.4978877050809,nan,4948456.437599801,205.4978877050809
E_n1,7902.6277825562665,8.543381386547315,nan,18258.55419245657,8.543381386547315
E_n2,32269.529821498487,34.88597818540377,nan,62637.94209090251,34.88597818540377
E_n3,167784.67351917413,181.388836236945,nan,5072766.088637723,181.388836236945
