experiment_id,feature,count,min,max,mean,std,p01,p05,p50,p95,p99,abs_max
ALL,directional_volume,13875,-1.9913438003912423,1.3086780833639244,0.316387249070642,0.5301782290383527,-0.7441367532490517,-0.7093304142439162,0.6604726303143635,0.7412322351937058,0.7661021229308985,1.9913438003912423
ALL,price_acceleration,13875,-0.017702189772043568,0.017271003474800904,2.9933458696177886e-05,0.0011859893634557541,-0.0019287234145331225,-0.0009696616165138204,-3.7033678869298784e-06,0.0009983141882441225,0.002720895288358948,0.017702189772043568
ALL,price_displacement,13875,-0.0018929868457058226,0.017701916366316118,0.0006212177304033663,0.0009925321711073724,-0.0017313692591919487,-0.0009913984192907576,0.0006571642477875045,0.0018475235649513012,0.0023455071611499616,0.017701916366316118
ALL,price_velocity,13875,-0.0018929868457058226,0.017701916366316118,0.0006219637784929136,0.0010117368343302534,-0.0017313692591919487,-0.0009913984192907576,0.0006362887872127049,0.0019476689076865083,0.0025468082540046157,0.017701916366316118
ALL,relative_volume,13875,0.0,2880.7152742476223,11.982348292663529,134.2458114414198,0.0,0.0,0.9719937682056717,1.113109275395807,2.7012776962992513,2880.7152742476223
ALL,spread,13875,0.020000000000010232,0.030000000000001137,0.024378378378384632,0.004622806865558023,0.020000000000010232,0.020000000000010232,0.025000000000005684,0.030000000000001137,0.030000000000001137,0.030000000000001137
ALL,spread_change,13875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,volume_density,13875,0.0,2880715274.2476225,11190945.791542314,134311028.3093643,0.0,0.0,1016.0841595373879,2872.4882595655054,4163.351207941235,2880715274.2476225
ALL,volume_log,13875,0.0,7.966140977177798,0.6081938882302738,0.6664134768228787,0.0,0.0,0.6790450960363387,0.7481604530543051,1.3086780833639244,7.966140977177798
ALL,volume_movement_abs,13875,0.0,0.023166109982139062,0.0004783836071465256,0.000795341236168979,0.0,0.0,0.00037653536306392273,0.00125884993545698,0.0016011143557543377,0.023166109982139062
ALL,volume_movement_signed,13875,-0.0013574698457232677,0.023166109982139062,0.0003532073155803701,0.0008582908305218167,-0.0011883246283915668,-0.00037947952735225047,0.0002588729306382504,0.0012365456326429646,0.0016011143557543377,0.023166109982139062
A_n1,directional_volume,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_n1,price_acceleration,925,-0.017702189772043568,0.017271003474800904,2.993345869617789e-05,0.0011859893634557541,-0.0018422853289330717,-0.0009693019155860603,-3.7033678869298784e-06,0.0009937927788780838,0.0025110580609013344,0.017702189772043568
A_n1,price_displacement,925,-0.0018929868457058226,0.017701916366316118,0.0006212177304033663,0.0009925321711073724,-0.0017267014625702885,-0.0009780550067176586,0.0006571642477875045,0.0018453866685541381,0.0023407134685065442,0.017701916366316118
A_n1,price_velocity,925,-0.0018929868457058226,0.017701916366316118,0.0006219637784929136,0.0010117368343302534,-0.0017267014625702885,-0.0009780550067176586,0.0006362887872127049,0.0019437264720234165,0.002538764269599986,0.017701916366316118
A_n1,relative_volume,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_n1,spread,925,0.020000000000010232,0.030000000000001137,0.02437837837838463,0.004622806865558023,0.020000000000010232,0.020000000000010232,0.025000000000005684,0.030000000000001137,0.030000000000001137,0.030000000000001137
A_n1,spread_change,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_n1,volume_density,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_n1,volume_log,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_n1,volume_movement_abs,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_n1,volume_movement_signed,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_n2,directional_volume,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_n2,price_acceleration,925,-0.017702189772043568,0.017271003474800904,2.993345869617789e-05,0.0011859893634557541,-0.0018422853289330717,-0.0009693019155860603,-3.7033678869298784e-06,0.0009937927788780838,0.0025110580609013344,0.017702189772043568
A_n2,price_displacement,925,-0.0018929868457058226,0.017701916366316118,0.0006212177304033663,0.0009925321711073724,-0.0017267014625702885,-0.0009780550067176586,0.0006571642477875045,0.0018453866685541381,0.0023407134685065442,0.017701916366316118
A_n2,price_velocity,925,-0.0018929868457058226,0.017701916366316118,0.0006219637784929136,0.0010117368343302534,-0.0017267014625702885,-0.0009780550067176586,0.0006362887872127049,0.0019437264720234165,0.002538764269599986,0.017701916366316118
A_n2,relative_volume,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_n2,spread,925,0.020000000000010232,0.030000000000001137,0.02437837837838463,0.004622806865558023,0.020000000000010232,0.020000000000010232,0.025000000000005684,0.030000000000001137,0.030000000000001137,0.030000000000001137
