experiment_id,scenario,model_time,output_channel,prediction,largest_term_name,largest_term_value,second_largest_term_name,second_largest_term_value,sum_linear,sum_quadratic,sum_cubic,sum_interactions,bias
A_n1,quiet_market,9.002,direction_state,0.0,bias,0.0,price_displacement,0.0,0.0,0,0,0.0,0.0
A_n1,quiet_market,9.002,magnitude_state,0.0,bias,0.0,price_displacement,0.0,0.0,0,0,0.0,0.0
A_n1,quiet_market,9.002,strength,0.0,bias,0.0,price_displacement,0.0,0.0,0,0,0.0,0.0
A_n1,quiet_market,9.002,persistence,0.0,bias,0.0,price_displacement,0.0,0.0,0,0,0.0,0.0
A_n1,quiet_market,9.002,observation_half_life,0.0,bias,0.0,price_displacement,0.0,0.0,0,0,0.0,0.0
A_n1,quiet_market,9.002,forward_half_life,0.0,bias,0.0,price_displacement,0.0,0.0,0,0,0.0,0.0
A_n1,quiet_market,9.002,reinforcement,0.0,bias,0.0,price_displacement,0.0,0.0,0,0,0.0,0.0
A_n1,quiet_market,9.002,uncertainty,0.0,bias,0.0,price_displacement,0.0,0.0,0,0,0.0,0.0
A_n1,quiet_market,9.002,reversal_tendency,0.0,bias,0.0,price_displacement,0.0,0.0,0,0,0.0,0.0
A_n1,quiet_market,9.002,perturbation_state,0.0,bias,0.0,price_displacement,0.0,0.0,0,0,0.0,0.0
A_n1,quiet_market,10.002,direction_state,0.0,bias,0.0,price_displacement,0.0,0.0,0,0,0.0,0.0
A_n1,quiet_market,10.002,magnitude_state,0.0,bias,0.0,price_displacement,0.0,0.0,0,0,0.0,0.0
A_n1,quiet_market,10.002,strength,0.0,bias,0.0,price_displacement,0.0,0.0,0,0,0.0,0.0
A_n1,quiet_market,10.002,persistence,0.0,bias,0.0,price_displacement,0.0,0.0,0,0,0.0,0.0
A_n1,quiet_market,10.002,observation_half_life,0.0,bias,0.0,price_displacement,0.0,0.0,0,0,0.0,0.0
A_n1,quiet_market,10.002,forward_half_life,0.0,bias,0.0,price_displacement,0.0,0.0,0,0,0.0,0.0
A_n1,quiet_market,10.002,reinforcement,0.0,bias,0.0,price_displacement,0.0,0.0,0,0,0.0,0.0
A_n1,quiet_market,10.002,uncertainty,0.0,bias,0.0,price_displacement,0.0,0.0,0,0,0.0,0.0
A_n1,quiet_market,10.002,reversal_tendency,0.0,bias,0.0,price_displacement,0.0,0.0,0,0,0.0,0.0
A_n1,quiet_market,10.002,perturbation_state,0.0,bias,0.0,price_displacement,0.0,0.0,0,0,0.0,0.0
A_n1,quiet_market,11.002,direction_state,0.0,bias,0.0,price_displacement,0.0,0.0,0,0,0.0,0.0
A_n1,quiet_market,11.002,magnitude_state,0.0,bias,0.0,price_displacement,0.0,0.0,0,0,0.0,0.0
A_n1,quiet_market,11.002,strength,0.0,bias,0.0,price_displacement,0.0,0.0,0,0,0.0,0.0
A_n1,quiet_market,11.002,persistence,0.0,bias,0.0,price_displacement,0.0,0.0,0,0,0.0,0.0
A_n1,quiet_market,11.002,observation_half_life,0.0,bias,0.0,price_displacement,0.0,0.0,0,0,0.0,0.0
A_n1,quiet_market,11.002,forward_half_life,0.0,bias,0.0,price_displacement,0.0,0.0,0,0,0.0,0.0
A_n1,quiet_market,11.002,reinforcement,0.0,bias,0.0,price_displacement,0.0,0.0,0,0,0.0,0.0
A_n1,quiet_market,11.002,uncertainty,0.0,bias,0.0,price_displacement,0.0,0.0,0,0,0.0,0.0
A_n1,quiet_market,11.002,reversal_tendency,0.0,bias,0.0,price_displacement,0.0,0.0,0,0,0.0,0.0
A_n1,quiet_market,11.002,perturbation_state,0.0,bias,0.0,price_displacement,0.0,0.0,0,0,0.0,0.0
A_n1,quiet_market,12.002,direction_state,0.0,bias,0.0,price_displacement,0.0,0.0,0,0,0.0,0.0
A_n1,quiet_market,12.002,magnitude_state,0.0,bias,0.0,price_displacement,0.0,0.0,0,0,0.0,0.0
