experiment_id,parameter,count,min,max,mean,std,p01,p05,p50,p95,p99,abs_max,starting_value,ending_value
B_n1,magnitude_state:relative_volume,925,-0.23228448045439515,0.0,-0.12801615412291464,0.03676302822540993,-0.2222127626159851,-0.19168380769122287,-0.13107151840952763,-0.07121053958193085,0.0,0.23228448045439515,0.0,-0.14401493961959538
B_n1,magnitude_state:relative_volume_x_price_velocity,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_n1,magnitude_state:spread,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_n1,magnitude_state:spread_change,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_n1,magnitude_state:volume_density,925,-0.23298614718289826,0.0,-0.12806083725318554,0.03648128581686897,-0.22294077338632703,-0.1925392315875084,-0.1315137923708378,-0.0719700785806323,0.0,0.23298614718289826,0.0,-0.1451207261503813
B_n1,magnitude_state:volume_density_x_price_displacement,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_n1,magnitude_state:volume_log,925,-0.2238067701035308,0.02398217818068562,-0.1100315598756845,0.0716161561466783,-0.2192303338525677,-0.21601427706879373,-0.07397192603857469,-0.023568618286211193,0.0012709969449689663,0.2238067701035308,0.0,-0.06802615097398301
B_n1,magnitude_state:volume_log_x_price_displacement,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_n1,magnitude_state:volume_movement_abs,925,-0.024244224772544017,2.0435653397702565,0.5065338196461426,0.45190154162933127,0.0,0.22404176197161277,0.3522959411945245,1.9772448063747285,1.9874838497870804,2.0435653397702565,0.0,0.1831616542757891
B_n1,magnitude_state:volume_movement_signed,925,-0.19151461311547968,1.5555044248905978,0.19865760994587758,0.38869387525568544,-0.0664232327145069,-0.030445420681960038,0.07829347551134706,1.497030921237097,1.5035724632977825,1.5555044248905978,0.0,-0.04855954899583486
B_n1,observation_half_life:bias,925,0.0,5.0,4.9305222941400455,0.5602734233329647,0.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0
B_n1,observation_half_life:directional_volume,925,-5.0,5.0,2.2447981454990296,3.440475717505051,-5.0,-5.0,4.160089516338296,5.0,5.0,5.0,0.0,4.438927538395094
B_n1,observation_half_life:price_acceleration,925,-5.0,5.0,-1.493112069443322,2.615402957164375,-5.0,-4.9935996950937325,-1.9273505108681357,3.5993562980314513,4.448670273524525,5.0,0.0,-4.592690542486952
B_n1,observation_half_life:price_displacement,925,-5.0,5.0,0.22582948219209026,3.178702293284619,-5.0,-5.0,0.5495342983404434,5.0,5.0,5.0,0.0,-0.5536128996474652
B_n1,observation_half_life:price_velocity,925,-5.0,5.0,0.06571918248799163,3.188188436435324,-5.0,-5.0,0.1931397496146254,5.0,5.0,5.0,0.0,-5.0
B_n1,observation_half_life:price_velocity_x_acceleration,925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_n1,observation_half_life:relative_volume,925,-5.0,0.0,-4.906274565100163,0.6353862492404623,-5.0,-5.0,-5.0,-5.0,0.0,5.0,0.0,-5.0
